dimSegmentId, botRuleName
s3938_693c021cdcd11c4a874ff5f6,0115-Bot-Rule-Guru.main-User-Agent
s3938_693c0322dcd11c4a874ff600,0116-Bot-Rule-Guru.main-User-Agent
s3938_693c041042b33f386318cece,0117-Bot-Rule-Guru.main-Domain-bravewaycom
s3938_693c042b542d6461f437b029,0118-Bot-Rule-Guru.main-Domain-catalysthostcom
s3938_693c04594126b825f3794f56,0119-Bot-Rule-Guru.main-Domain-chinacachecom
s3938_693c04754126b825f3794f57,0120-Bot-Rule-Guru.main-Domain-cloudgenicorg
s3938_693c049562fb9877ebbab647,0121-Bot-Rule-Guru.main-Domain-easy-hostingnet
s3938_693c04c862fb9877ebbab64c,0122-Bot-Rule-Guru.main-Domain-goodlineinfo
s3938_693c04ef45508d621783916f,0123-Bot-Rule-Guru.main-Domain-hostparatuvidacom
s3938_693c051442b33f386318ced1,0124-Bot-Rule-Guru.main-Domain-hostwagoncom
s3938_693c0534dcd11c4a874ff609,0125-Bot-Rule-Guru.main-Domain-netassistua
s3938_693c0550dcd11c4a874ff60a,0126-Bot-Rule-Guru.main-Domain-usnet
s3938_693c059e542d6461f437b031,0127-Bot-Rule-Cardschatcom-User-Agent
s3938_693c05cabade9e632b345817,0128-Bot-Rule-Cardschatcom-User-Agent
s3938_693c05eddcd11c4a874ff60b,0129-Bot-Rule-Cardschatcom-User-Agent
s3938_693c062842b33f386318ced7,0130-Bot-Rule-Apuestasdeportivascom-Region-Sachsen-Germany-AND-OperatingSystem-Android-1600
s3938_693c064c42b33f386318ced8,0131-Bot-Rule-Apuestasdeportivascom-User-Agent
s3938_693c066cdcd11c4a874ff611,0132-Bot-Rule-Apuestasdeportivascom-User-Agent
s3938_693c0772347b1f4a2a19c2ee,0133-Bot-Rule-Cardschatcom-MonitorResolution-432-x-736-AND-Domain-outsideheavencom
s3938_693c07a7b1650f01b0316133,0134-Bot-Rule-Cardschatcom-MonitorResolution-432-x-736-AND-OperatingSystem-iOS-166
s3938_693c07c842b33f386318cee0,0135-Bot-Rule-Cardschatcom-MonitorResolution-432-x-736-AND-OperatingSystem-iOS-175
s3938_693c08f8542d6461f437b041,0136-Bot-Rule-Cardschatcom-MonitorResolution-432-x-736-AND-Region-Hamerkaz-Israel
s3938_693c095adcd11c4a874ff622,0137-Bot-Rule-Apuestasdeportivascom-User-Agent
s3938_693c09b6dcd11c4a874ff627,0138-Bot-Rule-Casinoat-User-Agent